video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_1,Object Perception,What logos are visible in the background as players and referees walk towards the center of the football field?,"['FIFA and La Liga.', 'UEFA and La Liga.', 'Bundesliga and La Liga.', 'Aeromexico and La Liga.']",Aeromexico and La Liga.,D,B) UEFA and La Liga.,B,0.0,4.0,5,129,1.0,False,238,980,0.2429,392,2,15000,0,64,1
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_2,Causal Reasoning,Why does the player wearing the number nine red and blue jersey celebrate?,"['He saved a goal.', 'He received a pass.', 'He scored a goal.', 'He won a free kick.']",He scored a goal.,C,C) He scored a goal.,C,100.0,53.0,54,129,1.0,False,746,10584,0.0705,980,5,15000,0,64,1
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_4,Attribute Perception,What color is the goalie's uniform?,"['Blue.', 'Red.', 'White.', 'Yellow.']",Yellow.,D,D) Yellow.,D,100.0,80.0,81,129,1.0,False,1043,15876,0.0657,1372,7,15000,0,64,1
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_3,Text-Rich Understanding,What logo is seen on the jersey of the player covering his mouth?,"['Apple.', 'Google.', 'Adidas.', 'Spotify.']",Spotify.,D,D) Spotify.,D,100.0,82.0,83,129,1.0,False,1084,16268,0.0666,1568,8,15000,0,64,1
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_5,Attribute Perception,"What is the color of the cooler labeled ""PRIME"" near the team bench?","['Blue.', 'Yellow.', 'Green.', 'Red.']",Red.,D,D) Red.,D,100.0,128.0,129,129,1.0,False,1511,25284,0.0598,2156,11,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_1,Object Perception,What is the number on the back of MAJER's jersey?,"['7.', '10.', '13.', '16.']",7.,A,B) 10.,B,0.0,10.0,11,316,1.0,False,284,2156,0.1317,392,2,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_2,Event Understanding,What event occurred just now?,"['A penalty kick.', 'A free kick.', 'A goal celebration.', 'A corner kick.']",A penalty kick.,A,A) A penalty kick.,A,100.0,19.0,20,316,1.0,False,382,3920,0.0974,588,3,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_3,Action Perception,What is the goalkeeper doing as the player takes the penalty shot?,"['Standing still.', 'Diving to his right.', 'Running towards the ball.', 'Waving his hands.']",Diving to his right.,B,B) Diving to his right.,B,100.0,112.0,113,316,1.0,False,1217,22148,0.0549,1568,8,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_4,Causal Reasoning,Why did the player celebrate by clenching his fists and bending his head forward?,"['He just scored a penalty kick.', 'He blocked a shot.', 'He made a successful pass.', 'He received a yellow card.']",He just scored a penalty kick.,A,A) He just scored a penalty kick.,A,100.0,211.0,212,316,1.0,False,2171,41552,0.0522,2548,13,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_5,Text-Rich Understanding,What is the current score shown on the scoreboard?,"['Croatia 3 - 2 Brazil.', 'Croatia 4 - 2 Brazil.', 'Croatia 4 - 3 Brazil.', 'Croatia 5 - 2 Brazil.']",Croatia 4 - 2 Brazil.,B,A) Croatia 3 - 2 Brazil.,A,0.0,315.0,316,316,1.0,False,3184,61936,0.0514,3724,19,15000,0,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_1,Object Perception,What appears at the very beginning of the video?,"['A football match.', 'A logo of FC Barcelona.', 'A silver trophy.', 'A live concert.']",A logo of FC Barcelona.,B,B) A logo of FC Barcelona.,B,100.0,8.0,9,172,1.0,False,277,1764,0.157,392,2,15000,0,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_2,Spatial Understanding,What is the position relationship between the woman in a black dress and the woman in a white outfit?,"['They are standing side by side.', 'They are standing back to back.', 'The woman in black is in front of the woman in white.', 'The woman in white is holding the trophy.']",They are standing side by side.,A,A) They are standing side by side.,A,100.0,20.0,21,172,1.0,False,414,4116,0.1006,588,3,15000,0,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_3,Attribute Perception,What color is the goalkeeper's kit when standing in front of the goalposts?,"['Red.', 'Green.', 'Yellow.', 'Blue.']",Yellow.,C,C) Yellow.,C,100.0,69.0,70,172,1.0,False,853,13720,0.0622,1176,6,15000,0,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_4,Object Perception,What advertisement is displayed on the red boards behind the goal?,"['AMBILIGHT TV.', 'NIKE.', 'ESTRELLA DAMM.', 'ADIDAS.']",ESTRELLA DAMM.,C,A) AMBILIGHT TV.,A,0.0,123.0,124,172,1.0,False,1367,24304,0.0562,1764,9,15000,0,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_5,Action Perception,What are the two people in the video frame doing now?,"['handshaking.', 'Hugging.', 'High-fiving.', 'Fist bumping.']",handshaking.,A,C) High-fiving.,C,0.0,171.0,172,172,1.0,False,1878,33712,0.0557,2352,12,15000,0,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_2,Causal Reasoning,Why are the players in green and white striving to intercept the ball?,"['They are warming up for the game.', 'They are practicing their defensive moves.', 'They are reacting to an offensive move toward the goal.', 'They are performing a choreographed play.']",They are reacting to an offensive move toward the goal.,C,C) They are reacting to an offensive move toward the goal.,C,100.0,19.0,20,221,1.0,False,387,3920,0.0987,392,2,15000,0,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_1,Object Perception,What emblem appears at the beginning of the video?,"['An animal symbol.', 'A football club shield.', 'A national flag.', 'A corporate logo.']",A football club shield.,B,B) A football club shield.,B,100.0,20.0,21,221,1.0,False,396,4116,0.0962,588,3,15000,0,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_3,Text-Rich Understanding,What was the score and the position of the teams right now?,"['1-0, the team in blue and red is leading.', '2-0, the team in white is leading.', '2-0, the team in blue and red is leading.', '1-1, the teams are tied.']","2-0, the team in blue and red is leading.",C,"C) 2-0, the team in blue and red is leading.",C,100.0,64.0,65,221,1.0,False,865,12740,0.0679,1176,6,15000,0,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_4,Event Understanding,What is the updated score after the player in number 11 scored a goal?,"['2-0.', '3-0.', '5-0.', '4-0.']",4-0.,D,A) 2-0.,A,0.0,131.0,132,221,1.0,False,1536,25872,0.0594,1960,10,15000,0,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_5,Attribute Perception,"What uniform does the player named ""JOAO CANCELO"" wear?","['Purple and white.', 'Red and blue striped.', 'Blue and yellow.', 'Green and black.']",Red and blue striped.,B,B) Red and blue striped.,B,100.0,220.0,221,221,1.0,False,2507,43316,0.0579,2940,15,15000,0,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_1,Text-Rich Understanding,What name is written on the goalkeeper's bright green jersey?,"['NEUER.', 'PICKFORD.', 'DE GEA.', 'COURTOIS.']",PICKFORD.,B,B) PICKFORD.,B,100.0,14.0,15,444,1.0,False,332,2940,0.1129,392,2,15000,0,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_2,Object Perception,What brand is visible on the player's white cleats?,"['Nike.', 'Puma.', 'Adidas.', 'Under Armour.']",Adidas.,C,C) Adidas.,C,100.0,18.0,19,444,1.0,False,380,3724,0.102,588,3,15000,0,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_3,Event Understanding,What is the outcome of the penalty kick just now?,"['The goalkeeper saves the ball.', 'The ball hits the post.', 'The ball goes over the crossbar.', 'The ball goes into the net.']",The ball goes over the crossbar.,C,D) The ball goes into the net.,D,0.0,147.0,148,444,1.0,False,1603,29008,0.0553,1960,10,15000,0,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_4,Action Perception,What did the goalkeeper do during the penalty kick?,"['Stood still.', 'Dived to his left.', 'Dived to his right.', 'Ran towards the ball.']",Dived to his left.,B,D) Ran towards the ball.,D,0.0,273.0,274,444,1.0,False,2935,53704,0.0547,3332,17,15000,0,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_5,Text-Rich Understanding,What number is on the back of the goalkeeper's kit who is preparing to dive for the penalty kick?,"['10.', '7.', '5.', '1.']",1.,D,D) 1.,D,100.0,443.0,444,444,1.0,False,4650,87024,0.0534,5096,26,15000,0,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_1,Action Perception,What action is the player in the white shirt with number 20 doing?,"['Walking on the field.', 'Preparing for a penalty kick.', 'Waving to the crowd.', 'Kneeling on the ground.']",Kneeling on the ground.,D,D) Kneeling on the ground.,D,100.0,14.0,15,426,1.0,False,286,2940,0.0973,392,2,15000,0,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_2,Object Perception,What brand is advertised on the boards behind the goal?,"['Adidas.', 'Nike.', 'Pepsi.', 'Kia Motors.']",Kia Motors.,D,D) Kia Motors.,D,100.0,145.0,146,426,1.0,False,1511,28616,0.0528,1764,9,15000,0,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_3,Event Understanding,What is the crowd's reaction during the player's preparation for the penalty kick?,"['Celebrating wildly.', 'Leaving the stadium.', 'Booing the player.', 'Seemingly in prayer or anticipation.']",Seemingly in prayer or anticipation.,D,D) Seemingly in prayer or anticipation.,D,100.0,151.0,152,426,1.0,False,1591,29792,0.0534,1960,10,15000,0,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_4,Action Perception,What is the player in the black jersey doing just now?,"['Raising both arms.', 'Moving away from the ball.', 'Running toward the crowd.', 'Bending down to adjust the football.']",Bending down to adjust the football.,D,D) Bending down to adjust the football.,D,100.0,293.0,294,426,1.0,False,2942,57624,0.0511,3332,17,15000,0,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_5,Text-Rich Understanding,What is written on the back of the goalkeeper's jersey?,"['SMITH 10.', 'JONES 15.', 'SCHEMEICHEL 1.', 'MARTIN 8.']",SCHEMEICHEL 1.,C,C) SCHEMEICHEL 1.,C,100.0,425.0,426,426,1.0,False,4235,83496,0.0507,4704,24,15000,0,64,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_1,Event Understanding,What is happening in the penalty area of the football field?,"['A player is preparing to take a penalty kick.', 'A player is scoring a goal.', 'A fight is breaking out.', 'The referee is ending the game.']",A player is preparing to take a penalty kick.,A,A) A player is preparing to take a penalty kick.,A,100.0,16.0,17,397,1.0,False,266,3332,0.0798,392,2,15000,0,64,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_2,Event Understanding,What happens after the penalty kick is taken?,"['The penalty kick was saved by the goalkeeper.', 'The goalkeeper catches the ball.', 'The ball goes into the bottom left of the net.', 'The ball is deflected by a defender.']",The penalty kick was saved by the goalkeeper.,A,C) The ball goes into the bottom left of the net.,C,0.0,135.0,136,397,1.0,False,1077,26656,0.0404,1372,7,15000,0,64,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_4,Event Understanding,What happens after the goalkeeper dives to his right?,"['The ball goes past the goalkeeper.', 'The goalkeeper catches the ball.', 'The player misses the goal.', 'The ball hits the post.']",The ball goes past the goalkeeper.,A,A) The ball goes past the goalkeeper.,A,100.0,258.0,259,397,1.0,False,2140,50764,0.0422,2548,13,15000,0,64,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_3,Action Perception,What does the player in the white and light blue striped jersey do after running forward?,"['Passes the ball.', 'Stops running.', 'Celebrates.', 'Kicks the ball towards the goal.']",Kicks the ball towards the goal.,D,D) Kicks the ball towards the goal.,D,100.0,260.0,261,397,1.0,False,2166,51156,0.0423,2744,14,15000,0,64,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_5,Event Understanding,What event is taking place right now?,"['A soccer match celebration.', 'A concert.', 'A protest.', 'A graduation ceremony.']",A soccer match celebration.,A,A) A soccer match celebration.,A,100.0,396.0,397,397,1.0,False,3466,77812,0.0445,4116,21,15000,0,64,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_1,Attribute Perception,What is the color and number of the football player's jersey who is preparing for a penalty kick?,"['Red, 10.', 'Blue, 14.', 'Black, 22.', 'White, 26.']","White, 26.",D,"D) White, 26.",D,100.0,5.0,6,257,1.0,False,258,1176,0.2194,392,2,15000,0,64,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_2,Attribute Perception,What name and number are on the goalkeeper's jersey righ now?,"['COSTA, 26.', 'RONALDO, 7.', 'MESSI, 10.', 'DIOGO COSTA, 22.']","DIOGO COSTA, 22.",D,"A) COSTA, 26.",A,0.0,14.0,15,257,1.0,False,390,2940,0.1327,588,3,15000,0,64,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_3,Text-Rich Understanding,What advertisement is visible around the perimeter of the field right now?,"['""Airbnb"".', '""Expedia"".', '""Booking.com"".', '""TripAdvisor"".']","""Booking.com"".",C,"A) ""Airbnb"".",A,0.0,85.0,86,257,1.0,False,1241,16856,0.0736,1568,8,15000,0,64,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_4,Attribute Perception,What colors are present on the shirt of the fan holding the scarf?,"['Red with white trimming.', 'Green with red trimming.', 'Yellow with red trimming.', 'Red with green trimming.']",Red with green trimming.,D,D) Red with green trimming.,D,100.0,163.0,164,257,1.0,False,2058,32144,0.064,2548,13,15000,0,64,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_5,Event Understanding,What is the outcome of Bernardo's penalty kick?,"['The ball hits the post.', 'The ball goes out of bounds.', 'The goalkeeper saves the ball.', 'The ball hits the back of the net.']",The ball hits the back of the net.,D,C) The goalkeeper saves the ball.,C,0.0,256.0,257,257,1.0,False,3023,50372,0.06,3528,18,15000,0,64,1
Real-Time_Visual_Understanding__sample_9,Real-Time Visual Understanding_sample_9_1,Text-Rich Understanding,What card is this person playing now?,"['Nine of Spades.', 'Six of Spades.', 'Nine of Hearts.', 'Seven of Diamonds.']",Nine of Spades.,A,A) Nine of Spades.,A,100.0,11.0,12,76,1.0,False,291,2352,0.1237,392,2,15000,0,64,1
Real-Time_Visual_Understanding__sample_9,Real-Time Visual Understanding_sample_9_2,Clips Summarize,What does the video primarily capture?,"['A card game in progress between two individuals.', 'A cooking tutorial.', 'A conversation between two people.', 'A travel vlog.']",A card game in progress between two individuals.,A,A) A card game in progress between two individuals.,A,100.0,19.0,20,76,1.0,False,347,3920,0.0885,588,3,15000,0,64,1
Real-Time_Visual_Understanding__sample_9,Real-Time Visual Understanding_sample_9_3,Object Perception,What else is on the table besides the playing cards and a black object?,"['A pair of glasses.', 'A computer.', 'A pile of books.', 'A stack of notebooks.']",A pair of glasses.,A,A) A pair of glasses.,A,100.0,54.0,55,76,1.0,False,560,10780,0.0519,980,5,15000,0,64,1
Real-Time_Visual_Understanding__sample_9,Real-Time Visual Understanding_sample_9_4,Attribute Perception,What type of shirt is the opponent wearing?,"['A blue and white patterned shirt.', 'A plain white shir.', 'A yellow patterned shirt.', 'A red checkered shirt.']",A blue and white patterned shirt.,A,A) A blue and white patterned shirt.,A,100.0,71.0,72,76,1.0,False,695,14112,0.0492,1176,6,15000,0,64,1
