video_id,question_id,task,source,question,answer,pred_answer,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q0,SF,Ego,Is there the mineral water I need inside the refrigerator in front of me?,"Yes, I see that there are various kinds of mineral water in the refrigerator for you to choose from.","The video shows a refrigerator with various beverages, including what appears to be mineral water. However, due to the motion blur and the angle of the video, it's not possible to confirm with certainty if the specific mineral water you need is available. If you're looking for a particular brand or type of mineral water, you might need to check the labels more closely or ask someone in the store for assistance.",20.0,20,179,1.0,False,2203,3920,0.562,2352,12,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q0,SF,Ego,Is there the mineral water I need inside the refrigerator in front of me?,"Yes, I see that there are various kinds of mineral water in the refrigerator for you to choose from.","The video shows a refrigerator with various beverages, including what appears to be mineral water. However, due to the motion blur and the angle of the video, it's not possible to confirm with certainty if the specific mineral water you need is available. If you're looking for a particular brand or type of mineral water, you might need to check the labels more closely or ask someone in the store for assistance.",20.0,20,179,1.0,False,2203,3920,0.562,2352,12,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q1,SM,Ego,What color is the shopping basket I use to hold items?,It is red.,red,50.0,50,179,1.0,False,5191,9800,0.5297,5488,28,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q1,SM,Ego,What color is the shopping basket I use to hold items?,It is red.,red,50.0,50,179,1.0,False,5191,9800,0.5297,5488,28,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q2,KG,Ego,"Based on what you see, where do you think I am right now?",I think you should be in a place similar to a shopping mall right now.,"It appears that you are inside a convenience store or a small grocery store, as indicated by the presence of a refrigerated section with various beverages, a checkout counter, and promotional materials on the walls. The items in the refrigerator include water, energy drinks, and other bottled beverages, which are commonly found in such stores. The person in the video seems to be shopping, as they are seen selecting items and placing them in a shopping basket.",74.0,74,179,1.0,False,7295,14504,0.503,7644,39,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q2,KG,Ego,"Based on what you see, where do you think I am right now?",I think you should be in a place similar to a shopping mall right now.,"It appears that you are inside a convenience store or a small grocery store, as indicated by the presence of a refrigerated section with various beverages, a checkout counter, and promotional materials on the walls. The items in the refrigerator include water, energy drinks, and other bottled beverages, which are commonly found in such stores. The person in the video seems to be shopping, as they are seen selecting items and placing them in a shopping basket.",74.0,74,179,1.0,False,7295,14504,0.503,7644,39,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q3,OS,Ego,I want to find a place to sit and rest. Are there any chairs nearby?,"Yes, there are chairs near you where you can sit and rest.","Yes, there are chairs nearby.",108.0,108,179,1.0,False,9996,21168,0.4722,10388,53,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q3,OS,Ego,I want to find a place to sit and rest. Are there any chairs nearby?,"Yes, there are chairs near you where you can sit and rest.","Yes, there are chairs nearby.",108.0,108,179,1.0,False,9996,21168,0.4722,10388,53,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q4,LM,Ego,Is there a shelf with fruit nearby? I want to buy some apples.,"Yes, there are some shelves to your left where you can go and look for apples.","Yes, there is a shelf with fruit nearby.",142.0,142,179,1.0,False,12988,27832,0.4667,13524,69,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q4,LM,Ego,Is there a shelf with fruit nearby? I want to buy some apples.,"Yes, there are some shelves to your left where you can go and look for apples.","Yes, there is a shelf with fruit nearby.",142.0,142,179,1.0,False,12988,27832,0.4667,13524,69,15000,0,64,1
