video_id,question_id,task,source,question,answer,pred_answer,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,prune_cache,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q0,SF,Ego,Is there the mineral water I need inside the refrigerator in front of me?,"Yes, I see that there are various kinds of mineral water in the refrigerator for you to choose from.","I'm unable to physically see the contents of a refrigerator or any other location. However, if you're asking whether there is mineral water in the refrigerator in front of you, you should be able to tell by looking inside. Mineral water is typically stored in bottles and can be identified by the label or the type of water. If you're unable to see inside, you might need to open the refrigerator to check.",20.0,20,179,1.0,False,246,3920,0.0628,adaptive,392,2,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q0,SF,Ego,Is there the mineral water I need inside the refrigerator in front of me?,"Yes, I see that there are various kinds of mineral water in the refrigerator for you to choose from.","I'm unable to physically see the contents of a refrigerator or any other location. However, if you're asking whether there is mineral water in the refrigerator in front of you, you should be able to tell by looking inside. Mineral water is typically stored in bottles and can be identified by the label or the type of water. If you're unable to see inside, you might need to open the refrigerator to check.",20.0,20,179,1.0,False,246,3920,0.0628,adaptive,392,2,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q1,SM,Ego,What color is the shopping basket I use to hold items?,It is red.,red,50.0,50,179,1.0,False,375,9800,0.0383,adaptive,588,3,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q1,SM,Ego,What color is the shopping basket I use to hold items?,It is red.,red,50.0,50,179,1.0,False,375,9800,0.0383,adaptive,588,3,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q2,KG,Ego,"Based on what you see, where do you think I am right now?",I think you should be in a place similar to a shopping mall right now.,"It appears that you are standing in front of a vending machine, likely in a public area such as a store, office, or a common area in a building. The vending machine is stocked with various beverages, and there is a promotional card or flyer on the front of the machine. The environment suggests an indoor setting with artificial lighting.",74.0,74,179,1.0,False,436,14504,0.0301,adaptive,784,4,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q2,KG,Ego,"Based on what you see, where do you think I am right now?",I think you should be in a place similar to a shopping mall right now.,"It appears that you are standing in front of a vending machine, likely in a public area such as a store, office, or a common area in a building. The vending machine is stocked with various beverages, and there is a promotional card or flyer on the front of the machine. The environment suggests an indoor setting with artificial lighting.",74.0,74,179,1.0,False,436,14504,0.0301,adaptive,784,4,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q3,OS,Ego,I want to find a place to sit and rest. Are there any chairs nearby?,"Yes, there are chairs near you where you can sit and rest.","yes, there are chairs nearby",108.0,108,179,1.0,False,491,21168,0.0232,adaptive,980,5,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q3,OS,Ego,I want to find a place to sit and rest. Are there any chairs nearby?,"Yes, there are chairs near you where you can sit and rest.","yes, there are chairs nearby",108.0,108,179,1.0,False,491,21168,0.0232,adaptive,980,5,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q4,LM,Ego,Is there a shelf with fruit nearby? I want to buy some apples.,"Yes, there are some shelves to your left where you can go and look for apples.","I'm sorry, but I cannot see any shelves with fruit in the images you provided. The images show a refrigerator with various drinks and a person in a store, but there are no visible fruit shelves. If you are in a store, you should look for a section that typically sells fruits, which might be near the produce department or a separate fruit stand.",142.0,142,179,1.0,False,567,27832,0.0204,adaptive,1176,6,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q4,LM,Ego,Is there a shelf with fruit nearby? I want to buy some apples.,"Yes, there are some shelves to your left where you can go and look for apples.","I'm sorry, but I cannot see any shelves with fruit in the images you provided. The images show a refrigerator with various drinks and a person in a store, but there are no visible fruit shelves. If you are in a store, you should look for a section that typically sells fruits, which might be near the produce department or a separate fruit stand.",142.0,142,179,1.0,False,567,27832,0.0204,adaptive,1176,6,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q5,CI,Ego,I want to buy some beer and mineral water. Is there a refrigerator nearby that can provide these items?,"Yes, there is a refrigerator in the place where you just bought the mineral water.","Yes, there is a refrigerator nearby that contains beer and mineral water.",179.0,179,179,1.0,False,615,35084,0.0175,adaptive,1372,7,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q5,CI,Ego,I want to buy some beer and mineral water. Is there a refrigerator nearby that can provide these items?,"Yes, there is a refrigerator in the place where you just bought the mineral water.","Yes, there is a refrigerator nearby that contains beer and mineral water.",179.0,179,179,1.0,False,615,35084,0.0175,adaptive,1372,7,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e0q0,SF,Ego,Is there a yellow towel on the handle of the oven I just operated?,"Yes, I see a yellow towel, but based on your operation process, it is not possible to confirm that the machine is an oven.","No, there is no yellow towel on the handle of the oven.",20.0,20,179,1.0,False,234,3920,0.0597,adaptive,392,2,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e1q0,SF,Ego,Is there a yellow towel on the handle of the oven I just operated?,"Yes, I see a yellow towel, but based on your operation process, it is not possible to confirm that the machine is an oven.","No, there is no yellow towel on the handle of the oven.",20.0,20,179,1.0,False,234,3920,0.0597,adaptive,392,2,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e0q1,SM,Ego,I want some bananas. Are there any fruits on the table in front of me?,I see bananas on the table in front of you.,no,50.0,50,179,1.0,False,325,9800,0.0332,adaptive,588,3,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e1q1,SM,Ego,I want some bananas. Are there any fruits on the table in front of me?,I see bananas on the table in front of you.,no,50.0,50,179,1.0,False,325,9800,0.0332,adaptive,588,3,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e0q2,LM,Ego,I am looking for an orange pot. It might be surrounded by other kitchen utensils. Can you help me think about where it might be?,"Sure, you can check the cooking area you just used; it seems there is an orange pot there.","Based on the image you've provided, the orange pot is likely to be on the stove. It's positioned on the right side of the stove, which is a common place for pots during cooking. The stove is a central piece of kitchen equipment, so it's a logical place to find a pot that's currently in use or has been recently used.",74.0,74,179,1.0,False,358,14504,0.0247,adaptive,784,4,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e1q2,LM,Ego,I am looking for an orange pot. It might be surrounded by other kitchen utensils. Can you help me think about where it might be?,"Sure, you can check the cooking area you just used; it seems there is an orange pot there.","Based on the image you've provided, the orange pot is likely to be on the stove. It's positioned on the right side of the stove, which is a common place for pots during cooking. The stove is a central piece of kitchen equipment, so it's a logical place to find a pot that's currently in use or has been recently used.",74.0,74,179,1.0,False,358,14504,0.0247,adaptive,784,4,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e0q3,KG,Ego,What are the spices used to make yellow curry?,"The main spices for making yellow curry are coriander, chili, cumin, white pepper, etc.",curry powder,108.0,108,179,1.0,False,443,21168,0.0209,adaptive,980,5,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e1q3,KG,Ego,What are the spices used to make yellow curry?,"The main spices for making yellow curry are coriander, chili, cumin, white pepper, etc.",curry powder,108.0,108,179,1.0,False,443,21168,0.0209,adaptive,980,5,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e0q4,CI,Ego,I need to use a towel to wipe my hands. Can you help me think about where to find it?,"If I am not mistaken, you can find a yellow towel on the wall or on the oven handle.","Based on the image, it seems that there is a towel hanging on the wall near the sink. You can find it by looking up at the towel rack above the sink.",162.0,162,179,1.0,False,528,31752,0.0166,adaptive,1176,6,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e1q4,CI,Ego,I need to use a towel to wipe my hands. Can you help me think about where to find it?,"If I am not mistaken, you can find a yellow towel on the wall or on the oven handle.","Based on the image, it seems that there is a towel hanging on the wall near the sink. You can find it by looking up at the towel rack above the sink.",162.0,162,179,1.0,False,528,31752,0.0166,adaptive,1176,6,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e0q5,OS,Ego,Can you help me find where my paper list for recording recipes is? There might be other things next to it.,"You can find a similar paper list on the nearby table, and it looks like there is a microwave next to it.","The paper list for recording recipes is located on the kitchen counter, near the stove. It is next to a stack of plates and a pot.",179.0,179,179,1.0,False,551,35084,0.0157,adaptive,1372,7,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e1q5,OS,Ego,Can you help me find where my paper list for recording recipes is? There might be other things next to it.,"You can find a similar paper list on the nearby table, and it looks like there is a microwave next to it.","The paper list for recording recipes is located on the kitchen counter, near the stove. It is next to a stack of plates and a pot.",179.0,179,179,1.0,False,551,35084,0.0157,adaptive,1372,7,15000,0,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e0q0,SF,Ego,What is that thing I just brought with my left hand?,"It is a green bucket that appears to be empty, with nothing inside it.","The object you're holding in your left hand appears to be a toilet brush. It's commonly used for cleaning the inside of a toilet bowl. The handle is typically made of plastic or metal, and the brush head is covered with a bristle material that's designed to scrub the toilet bowl effectively.",12.0,12,180,1.0,False,238,2352,0.1012,adaptive,392,2,15000,0,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e1q0,SF,Ego,What is that thing I just brought with my left hand?,"It is a green bucket that appears to be empty, with nothing inside it.","The object you're holding in your left hand appears to be a toilet brush. It's commonly used for cleaning the inside of a toilet bowl. The handle is typically made of plastic or metal, and the brush head is covered with a bristle material that's designed to scrub the toilet bowl effectively.",12.0,12,180,1.0,False,238,2352,0.1012,adaptive,392,2,15000,0,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e0q1,SM,Ego,Where did I put the green bucket that I just brought over?,"You bring it to support the wooden board, otherwise the board cannot be placed properly into the cutting machine.",on the ground,40.0,40,180,1.0,False,338,7840,0.0431,adaptive,588,3,15000,0,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e1q1,SM,Ego,Where did I put the green bucket that I just brought over?,"You bring it to support the wooden board, otherwise the board cannot be placed properly into the cutting machine.",on the ground,40.0,40,180,1.0,False,338,7840,0.0431,adaptive,588,3,15000,0,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e0q2,LM,Ego,The board seemed to be the wrong size and I needed to reconstructe it myself using a power cutter. Can you tell me where I can find my power cutter?,"Yes, the cutter is in the courtyard outside the door.","It looks like you're in the process of a DIY project, and you've encountered a bit of a challenge with the board size. If you're looking for a power cutter, you can typically find them at home improvement stores, hardware stores, or online retailers such as Amazon, Home Depot, Lowe's, or other similar stores. Make sure to choose a power cutter that is suitable for the material you're working with (wood, metal, etc.) and that you're comfortable using. Always follow safety guidelines when operating power tools.",74.0,74,180,1.0,False,410,14504,0.0283,adaptive,784,4,15000,0,64,1
