video_id,task,question,answer,answer_letter,min_fps,sample_fps,trigger,trigger_time_sec,n_frames_seen,n_frames_loaded,truncated,qa_acc,pred_answer,pred_choice,correct_choice,presented_choices,n_generated_tokens,latency_seconds,retrieval_fired,question_id,position_bin,position_frac,needle_start_sec,needle_end_sec,query_time_sec,stream_fps,haystack_file,needle_first_frame,needle_last_frame,n_needle_frames,retrieval_distance_sec,retrieval_distance_frames,tokens_after_needle,needle_in_local_window,n_layers_retrieved,n_blocks_per_layer,n_needle_blocks,layers_hit_frac,blocks_hit_mean,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
fpsstream_000497,state_at_event,"As one of the ball leaves the red section of the track, where is the other ball?",Top right quadrant of the circular track,A,6.0,1.0,query,351.008,352,600,False,0.0,D,D,A,"['Top right quadrant of the circular track', 'Bottom left quadrant of the circular track', 'Bottom right quadrant of the circular track', 'Top left quadrant of the circular track', 'None of the above']",2,0.8536,True,fpsbench_000499,middle,0.5846,342.008,357.023,351.008,30.0,order_18.mp4,343,351,9,-6.015,0,0,True,28,64,4,1.0,3.3571,17489,68992,0.2535,17640,90,15000,1011548160,64,1
fpsstream_000498,causality_detection,What causes the rally to end?,The player in red misses the table entirely with his return shot,A,4.0,1.0,query,535.042,536,600,False,0.0,B,B,A,"['The player in red misses the table entirely with his return shot', ""The player in red hits the ball onto his side of the table instead of his opponent's side"", ""The player in black is unable to reach the ball after the player in red's return"", ""The player in black fails to react to his opponent's return"", 'None of the above']",2,0.6057,True,fpsbench_000500,late,0.8908,530.042,535.042,535.042,30.0,count_151.mp4,531,535,5,0.0,0,0,True,28,64,2,1.0,1.5714,27570,105056,0.2624,27636,141,15000,1584758784,64,1
fpsstream_000499,causality_detection,What causes the rally to end?,The player in black is unable to reach the ball after the player in red's return,C,5.0,1.0,query,76.996,77,600,False,0.0,A,A,C,"['The player in red misses the table entirely with his return shot', ""The player in red hits the ball onto his side of the table instead of his opponent's side"", ""The player in black is unable to reach the ball after the player in red's return"", ""The player in black fails to react to his opponent's return"", 'None of the above']",2,0.3297,True,fpsbench_000501,early,0.106,61.996,77.011,76.996,25.0,subPlot_new_all_160.mp4,62,76,15,-0.015,0,0,True,28,25,5,1.0,5.0,4733,15092,0.3136,4900,25,15000,0,64,1
fpsstream_000500,causality_detection,What causes the rally to end?,The player in red hits the ball into the net,C,5.0,1.0,query,357.946,358,600,False,0.0,A,A,C,"['The player in red misses the table entirely with his return shot', ""The player in red hits the ball onto his side of the table instead of his opponent's side"", 'The player in red hits the ball into the net', ""The player in black fails to react to his opponent's return"", 'None of the above']",2,0.6745,True,fpsbench_000502,middle,0.5932,352.946,357.951,357.946,25.0,subPlot_new_all_119.mp4,353,357,5,-0.005,0,0,True,28,64,2,1.0,1.5357,24619,70168,0.3509,24696,126,15000,1416167424,64,1
fpsstream_000501,causality_detection,What causes the rally to end?,The player in red misses the table entirely with his return shot,A,4.0,1.0,query,522.825,523,600,False,100.0,A,A,A,"['The player in red misses the table entirely with his return shot', ""The player in red hits the ball onto his side of the table instead of his opponent's side"", 'The player in red hits the ball into the net', ""The player in black fails to react to his opponent's return"", 'None of the above']",2,0.5838,True,fpsbench_000503,late,0.8696,514.825,522.833,522.825,25.0,order_117.mp4,515,522,8,-0.008,0,0,True,28,64,2,1.0,2.0,25054,102508,0.2444,25088,128,15000,1438646272,64,1
fpsstream_000502,causality_detection,What causes the rally to end?,The ball hit by the player facing away from the camera misses the table,A,4.0,1.0,query,153.626,154,600,False,0.0,B,B,A,"['The ball hit by the player facing away from the camera misses the table', 'The ball hit by the player facing away from the camera lands on the wrong side of the table', 'The player facing the camera misses misses the ball with his paddle', 'The player facing away from the camera misses the ball with his paddle', 'None of the above']",2,0.345,True,fpsbench_000504,early,0.2494,147.626,155.626,153.626,30.0,order_3.mp4,148,153,6,-2.0,0,0,True,28,52,3,1.0,3.0,10186,30184,0.3375,10192,52,15000,0,64,1
fpsstream_000503,causality_detection,What causes the rally to end?,The ball hit by the player facing away from the camera misses the table,A,4.0,1.0,query,311.527,312,600,False,0.0,B,B,A,"['The ball hit by the player facing away from the camera misses the table', 'The ball hit by the player facing away from the camera lands on the wrong side of the table', 'The player facing the camera misses misses the ball with his paddle', 'The player facing away from the camera misses the ball with his paddle', 'None of the above']",2,0.6446,True,fpsbench_000505,middle,0.5128,302.527,312.527,311.527,25.0,subPlot_new_all_139.mp4,303,311,9,-1.0,0,0,True,28,64,3,1.0,2.5,20153,61152,0.3296,20188,103,15000,1157660672,64,1
fpsstream_000504,causality_detection,What caused the team wearing black to win a point?,The opposite team hit the shuttle below the net,B,6.0,1.0,query,462.058,463,600,False,0.0,C,C,B,"['The opposite team hit the shuttle to the net', 'The opposite team hit the shuttle below the net', 'The opposite team hit the shuttle out of the court', 'The opposite team missed their shot', 'None of the above']",2,0.6214,True,fpsbench_000506,late,0.7688,452.058,464.07,462.058,25.0,subPlot_new_all_85.mp4,453,462,10,-2.012,0,0,True,28,64,2,1.0,2.0,22320,90748,0.246,22344,114,15000,1281294336,64,1
fpsstream_000505,synchronization_assessment,Were the two swimmers wearing red and green swimsuits synchronous?,No. The initial movement was not synchronous,B,5.0,1.0,query,161.91,162,600,False,100.0,B. No. The initial movement was not synchronous,B,B,"['Yes', 'No. The initial movement was not synchronous', 'No. The 180 degree turn was not synchronous', 'No. They did not raise their hands synchronously after the turn', 'None of the above']",11,0.9286,True,fpsbench_000507,early,0.2638,155.91,164.91,161.91,25.0,subPlot_new_all_131.mp4,156,161,6,-3.0,0,0,True,28,64,3,0.9286,2.7857,13879,31752,0.4371,13916,71,15000,0,64,1
fpsstream_000506,synchronization_assessment,Were the dancers wearing red dress in the front row synchronized when they point with their left hand?,No. The fourth dancer from the right moved before the rest,D,4.0,1.0,query,277.525,278,600,False,0.0,A,A,D,"['Yes', 'No. The first dancer from the left moved before the rest', 'No. The first dancer from the right moved before the rest', 'No. The fourth dancer from the right moved before the rest', 'None of the above']",2,0.414,True,fpsbench_000508,middle,0.4602,271.525,281.525,277.525,30.0,order_65.mp4,272,277,6,-4.0,0,0,True,28,64,2,0.9286,1.7857,14278,54488,0.262,14308,73,15000,0,64,1
fpsstream_000507,synchronization_assessment,Do the cockatiels peck at the food together in the video?,"Yes, multiple times",B,5.0,1.0,query,460.802,461,600,False,100.0,B,B,B,"['Yes, only once', 'Yes, multiple times', 'No, the cockatiel on the left always goes first', 'No, the cockatiel on the right always goes first', 'None of the above']",2,0.6181,True,fpsbench_000509,late,0.7633,448.802,460.802,460.802,25.0,subPlot_new_all_197.mp4,449,460,12,0.0,0,0,True,28,64,3,0.9286,1.6429,23918,90356,0.2647,24108,123,15000,1382449152,64,1
fpsstream_000508,synchronization_assessment,Do the dancers clap above their head in sync?,"Yes, they do.",A,5.0,1.0,query,122.52,123,600,False,100.0,A,A,A,"['Yes, they do.', 'No, some of the dancers on the left are off beat.', 'No, some of the dancers on the right are off beat.', 'They are all off beat from each other.', 'None of the above']",2,0.3222,True,fpsbench_000510,early,0.1958,115.52,125.52,122.52,30.0,count_237.mp4,116,122,7,-3.0,0,0,True,28,38,3,1.0,3.0,7267,24108,0.3014,7448,38,15000,0,64,1
