video_id,question,answer,pred_answer,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with vegetables?,Chopping vegetables.,"The person is chopping vegetables, specifically red bell peppers and onions, and preparing them for cooking.",15148,58800,0.2576,15288,78,15000,876675072,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What step is being taken with flatbread?,Wrapping sauce in flatbread.,The flatbread is being filled with the cooked mixture.,15148,58800,0.2576,15288,78,15000,876675072,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen fixture is being utilized?,Opening a cabinet.,stove,15148,58800,0.2576,15288,78,15000,876675072,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What's the overview of the action in the clip?,Preparing ingredients for a meal.,"The video begins with a view of a kitchen counter where various ingredients are laid out, including a cutting board with a knife, a bowl of chopped vegetables, and a container of organic baby greens. A person is seen chopping onions on the cutting board. The scene transitions to the person slicing red bell peppers on the same cutting board, with a bowl of mixed vegetables in the background. The person then scoops the chopped vegetables into a pot on the stove, which contains a mixture of ingredients, possibly a stew or chili. The person continues to add more vegetables from a container into the pot.The video develops through a close-up of the person's hands as they scoop the chopped red bell peppers from the cutting board into the pot on the stove. The person's hands are seen holding a large knife and a spoon, and the cutting board is visible with a knife and a bowl of chopped vegetables. The person then places the chopped vegetables into the pot, which contains a mixture of ingredients, possibly a stew or chili. The scene transitions to a wider shot of the kitchen, showing the stove with the pot of stew, a container of organic baby greens, a bowl of chopped vegetables, and a bottle of apple cider vinegar on the counter. The person's hands are seen holding a large",15148,58800,0.2576,15288,78,15000,876675072,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the video show someone chopping vegetables?,Yes.,Yes.,15148,58800,0.2576,15288,78,15000,876675072,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the individual successfully open a kitchen cabinet?,Yes.,"Yes, the individual successfully opened a kitchen cabinet.",15148,58800,0.2576,15288,78,15000,876675072,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the flatbread being seasoned with sauce?,Yes.,Yes.,15148,58800,0.2576,15288,78,15000,876675072,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an occurrence of food being wrapped?,Yes.,"Yes, the video shows the preparation of food, including wrapping it in tortillas.",15148,58800,0.2576,15288,78,15000,876675072,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the person using a knife for cooking tasks?,Yes.,Yes.,15148,58800,0.2576,15288,78,15000,876675072,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is the location in the video clip?,A kitchen.,The location in the video clip is a kitchen.,27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen activity is underway in the clip?,Cutting vegetables.,"The clip shows the preparation of a meal, specifically the chopping of vegetables and the cooking of a dish.",27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What tool does the person in the video use?,Knives.,The person in the video uses a large knife to chop vegetables.,27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What appliance does the person in the video handle?,The heat regulator of the cooker.,The person in the video handles a large knife and a spoon.,27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What part of the kitchen furniture does the person interact with?,Drawers.,"The person interacts with the dishwasher, opening it to place a blue object inside.",27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,How is the person controlling the cooking temperature?,Operating the heat regulator.,The person is controlling the cooking temperature by adjusting the stove's heat settings.,27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What can be inferred from the person's actions with the drawers?,Searching or organizing.,"The person's actions with the drawers suggest they are organizing or retrieving items, possibly related to the cooking process.",27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the clip show any cooking taking place?,"No direct cooking, only preparation.","Yes, the clip shows the person cooking by placing the filled tortillas into a pan on the stove.",27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the person successfully cut the vegetables?,Yes.,"Yes, the person successfully cuts the vegetables into smaller pieces.",27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Was the heat regulator adjusted to a specific level?,"Yes, it was operated.","Yes, the heat regulator was adjusted to a specific level.",27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the person use any other kitchen tools besides knives?,Heat regulator only mentioned.,"Yes, the person used a garlic press and a spoon.",27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the cabinet opened before wrapping the sauce in flat bread?,No,No.,27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I cut vegetables before operating the heat regulator on the cooker?,Yes,"Yes, you cut the vegetables before operating the heat regulator on the cooker.",27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the drawer opened before the vegetables are chopped?,No,Yes.,27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does wrapping sauce in flat bread happen after cutting vegetables?,Yes,"Yes, wrapping sauce in flat bread happens after cutting vegetables.",27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I open the cabinet before chopping the vegetables?,No,"No, you should open the cabinet after chopping the vegetables.",27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What occurs just before wrapping the sauce in flat bread?,Chopping vegetables,The sauce is scooped into tortillas.,27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What takes place right before operating the heat regulator of the cooker?,Cutting vegetables with knives,"Right before operating the heat regulator of the cooker, the person is seen holding a spatula and a pot of chili, indicating they are about to adjust the heat for cooking.",27554,111720,0.2466,27832,142,15000,1595998208,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What setting is shown in this video clip?,A kitchen.,The video clip shows a kitchen setting.,41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with tomatoes?,Cutting tomatoes.,The tomatoes are being sliced.,41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an electronic device being used in this scene?,"Yes, a mobile phone.","Yes, there is an electronic device being used in this scene. The person is holding a smartphone in their hand.",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,How is the sauce being utilized in the cooking process?,By spreading it on flatbreads.,"The sauce is being used to fill the tortillas, which are then placed on a grill pan to be cooked.",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What activity is occurring aside from food preparation?,Operating a mobile phone.,A phone is being charged on the counter.,41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What manual task is depicted involving food items?,"Cutting vegetables, specifically tomatoes.",The manual task depicted involves slicing a tomato on a wooden cutting board.,41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is someone chopping vegetables in the video?,Yes.,Yes.,41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the sauce being poured into a bowl?,"No, it's being rolled in flatbreads.","No, the sauce is being poured into a pan.",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is a cooking activity happening in a bedroom?,"No, it's happening in a kitchen.",no,41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the frame capture the act of grilling or frying?,No.,"The frame captures the act of grilling or frying, as the person is seen placing the tortillas on the grill pan and using a spatula to handle them.",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,"In the video, are vegetables cut before the heat regulator is operated?",Yes,"Yes, vegetables are cut before the heat regulator is operated.",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does rolling sauce in flatbreads occur after cutting tomatoes?,Yes,"Yes, rolling sauce in flatbreads occurs after cutting tomatoes.",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the opening of the drawers happen before using the mobile phone?,No,"Yes, the opening of the drawers happens before using the mobile phone.",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the heat regulator operated before rolling sauce in flatbreads?,No,Yes.,41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What occurs just before rolling sauce in flatbreads?,Cutting tomatoes with a knife.,The person scoops the sauce with a spoon and places it into the flatbread.,41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What happens just before operating the heat regulator?,Cutting vegetables with knives.,"Just before operating the heat regulator, the person is seen holding a red container and a blue spatula, preparing to place the red container on the counter.",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is done just before opening drawers in the kitchen?,Operating the heat regulator of the cooker.,"Just before opening drawers in the kitchen, a person is seen holding a smartphone, possibly taking a photo or video, and then places the phone on the counter.",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What activity occurs just before operating a mobile phone?,Rolling sauce in flatbreads.,"The person is seen holding a mobile phone, suggesting they are about to use it.",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the cabinet opened before the vegetables are chopped?,No,No.,41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does operating the heat regulator happen after chopping vegetables?,Yes,"Yes, operating the heat regulator happens after chopping vegetables.",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is wrapping sauce in flat bread before cutting vegetables?,No,"No, wrapping sauce in flat bread is not mentioned before cutting vegetables. The video shows the preparation of a dish involving cutting vegetables and wrapping them in flat bread, but it does not mention wrapping sauce in flat bread.",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I use the mobile phone before opening drawers?,Yes,"No, you use the mobile phone after opening drawers.",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What happens just before the cabinet is opened in the video?,Chopping vegetables,A hand reaches for a red container on the counter.,41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What occurs immediately before operating the heat regulator?,Cutting vegetables with knives,"Immediately before operating the heat regulator, the person is seen holding a red plate and a blue spatula, preparing to place the plate on the counter.",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What do I do right before rolling sauce in flat breads?,Cutting tomatoes,"In the video, the person is preparing to roll a sauce in flat breads by following these steps:1. **Prepare the Flat Breads**: The flat breads are laid out on a cutting board, ready to be filled.2. **Heat the Sauce**: The sauce is being heated in a pan on the stove, ensuring it is warm and ready to be used.3. **Prepare the Filling**: The person is seen chopping tomatoes and other ingredients on a cutting board, which will be used as part of the filling for the flat breads.4. **Assemble the Filling**: The chopped ingredients are placed in a bowl, likely to be mixed with the sauce before being used to fill the flat breads.5. **Roll the Filling**: The person is about to roll the sauce and the chopped ingredients in the flat breads, likely using a spoon or spatula to help fold the dough over the filling.6. **Cook the Rolled Flat Breads**: The rolled flat breads are then placed on a grill or griddle to cook, which will likely involve pressing down on them with a spatula to ensure they are cooked evenly.The video captures the final stages of preparing the flat breads, showing the person rolling the sauce and",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What action takes place just before using the mobile phone?,Rolling sauce in flat breads,"Just before using the mobile phone, the person is seen holding a red container and a black spatula, and there is a bowl of chopped tomatoes and a bowl of chopped onions on the counter.",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is done directly before opening drawers in the kitchen?,Operating the heat regulator.,"Directly before opening drawers in the kitchen, the person is seen holding a smartphone.",41471,164640,0.2519,41944,214,15000,2405236736,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is the setting of the latest video frame?,A kitchen.,"The setting of the latest video frame is a kitchen with a wooden cutting board, a knife, and various chopped vegetables.",56785,217560,0.261,57428,293,15000,3293151232,64,1
