latency_seconds,retrieval_seconds,generation_seconds,n_generated_tokens,ms_per_token,answer_chars,question_idx,frame_idx,model,n_local,retrieve_size,answer_tokens_cap,force_answer_length,prune_method,vision_method
4.025383638916537,,,128,31.448309679035447,639,0,150,llava_ov_7b,15000,64,128,False,rlt,none
3.97643368691206,,,128,31.065888179000467,593,1,150,llava_ov_7b,15000,64,128,False,rlt,none
3.977790308999829,,,128,31.076486789061164,599,2,150,llava_ov_7b,15000,64,128,False,rlt,none
3.9738975730724633,,,128,31.04607478962862,615,3,150,llava_ov_7b,15000,64,128,False,rlt,none
2.197741281008348,,,70,31.39630401440497,378,4,150,llava_ov_7b,15000,64,128,False,rlt,none
2.838856272981502,,,91,31.196222780016505,462,5,150,llava_ov_7b,15000,64,128,False,rlt,none
3.360518514062278,,,108,31.115912167243316,514,6,150,llava_ov_7b,15000,64,128,False,rlt,none
1.6767797330394387,,,53,31.637353453574317,251,7,150,llava_ov_7b,15000,64,128,False,rlt,none
2.0148252120707184,,,64,31.481643938604975,294,8,150,llava_ov_7b,15000,64,128,False,rlt,none
5.200150109012611,,,128,40.626172726661025,632,9,285,llava_ov_7b,15000,64,128,False,rlt,none
4.992711242986843,,,128,39.00555658583471,648,10,285,llava_ov_7b,15000,64,128,False,rlt,none
0.8308529680361971,,,19,43.72910358085248,88,11,285,llava_ov_7b,15000,64,128,False,rlt,none
1.8599025269504637,,,46,40.432663629357904,217,12,285,llava_ov_7b,15000,64,128,False,rlt,none
4.992013244074769,,,128,39.000103469334135,610,13,285,llava_ov_7b,15000,64,128,False,rlt,none
4.762191787012853,,,122,39.03435890994142,639,14,285,llava_ov_7b,15000,64,128,False,rlt,none
2.4685552719747648,,,62,39.81540761249621,321,15,285,llava_ov_7b,15000,64,128,False,rlt,none
4.990683165960945,,,128,38.989712234069884,642,16,285,llava_ov_7b,15000,64,128,False,rlt,none
2.812166205025278,,,71,39.607974718665886,386,17,285,llava_ov_7b,15000,64,128,False,rlt,none
4.683801032952033,,,120,39.031675274600275,568,18,285,llava_ov_7b,15000,64,128,False,rlt,none
4.991020523011684,,,128,38.992347836028785,547,19,285,llava_ov_7b,15000,64,128,False,rlt,none
4.991522180032916,,,128,38.99626703150716,650,20,285,llava_ov_7b,15000,64,128,False,rlt,none
4.990305911051109,,,128,38.98676493008679,655,21,285,llava_ov_7b,15000,64,128,False,rlt,none
4.646266320021823,,,119,39.04425479009935,626,22,285,llava_ov_7b,15000,64,128,False,rlt,none
3.424104603007436,,,87,39.35752417249926,454,23,285,llava_ov_7b,15000,64,128,False,rlt,none
4.990477900952101,,,128,38.98810860118829,639,24,285,llava_ov_7b,15000,64,128,False,rlt,none
4.991538104019128,,,128,38.996391437649436,653,25,285,llava_ov_7b,15000,64,128,False,rlt,none
4.992202854016796,,,128,39.00158479700622,599,26,285,llava_ov_7b,15000,64,128,False,rlt,none
5.16282196494285,,,128,40.33454660111602,666,27,420,llava_ov_7b,15000,64,128,False,rlt,none
4.998170101898722,,,128,39.04820392108377,643,28,420,llava_ov_7b,15000,64,128,False,rlt,none
2.8922811209922656,,,73,39.62028932866117,373,29,420,llava_ov_7b,15000,64,128,False,rlt,none
4.992450951947831,,,128,39.00352306209243,590,30,420,llava_ov_7b,15000,64,128,False,rlt,none
2.6204302149126306,,,66,39.70348810473683,352,31,420,llava_ov_7b,15000,64,128,False,rlt,none
4.990330838016234,,,128,38.98695967200183,566,32,420,llava_ov_7b,15000,64,128,False,rlt,none
2.391186387045309,,,60,39.85310645075515,319,33,420,llava_ov_7b,15000,64,128,False,rlt,none
3.500121016986668,,,89,39.32720243805245,440,34,420,llava_ov_7b,15000,64,128,False,rlt,none
