video_id,question,answer,pred_answer,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with vegetables?,Chopping vegetables.,The task being performed with vegetables is chopping onions and bell peppers.,4332,58800,0.0737,4508,23,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What step is being taken with flatbread?,Wrapping sauce in flatbread.,The person is holding a tortilla and using a spoon to scoop out the filling from the pot.,4332,58800,0.0737,4508,23,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen fixture is being utilized?,Opening a cabinet.,A stove is being utilized in the kitchen.,4332,58800,0.0737,4508,23,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What's the overview of the action in the clip?,Preparing ingredients for a meal.,"The video begins with a view of a kitchen, showing a person chopping vegetables on a wooden cutting board. The scene transitions to a close-up of hands chopping onions on a wooden cutting board. The person then picks up a red bell pepper and begins to chop it. The video continues with a close-up of hands chopping red bell peppers on a wooden cutting board. The person then picks up a tortilla and begins to wrap it with the chopped red bell peppers. The video wraps up with a close-up of hands holding a tortilla and a spoon, preparing to wrap it.",4332,58800,0.0737,4508,23,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the video show someone chopping vegetables?,Yes.,"Yes, the video shows someone chopping vegetables on a wooden cutting board.",4332,58800,0.0737,4508,23,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the individual successfully open a kitchen cabinet?,Yes.,"No, the individual did not successfully open a kitchen cabinet.",4332,58800,0.0737,4508,23,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the flatbread being seasoned with sauce?,Yes.,Yes,4332,58800,0.0737,4508,23,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an occurrence of food being wrapped?,Yes.,Yes,4332,58800,0.0737,4508,23,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the person using a knife for cooking tasks?,Yes.,Yes,4332,58800,0.0737,4508,23,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is the location in the video clip?,A kitchen.,The location in the video clip is a kitchen.,7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen activity is underway in the clip?,Cutting vegetables.,The kitchen activity underway in the clip is preparing a dish that involves rolling tortillas filled with a mixture of vegetables and possibly meat.,7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What tool does the person in the video use?,Knives.,The person uses a large knife to chop the vegetables.,7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What appliance does the person in the video handle?,The heat regulator of the cooker.,The person in the video handles a stove.,7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What part of the kitchen furniture does the person interact with?,Drawers.,The person interacts with the kitchen cabinets and drawers.,7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,How is the person controlling the cooking temperature?,Operating the heat regulator.,The person is using a black electric stove with a digital display to control the cooking temperature.,7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What can be inferred from the person's actions with the drawers?,Searching or organizing.,"The person's actions with the drawers suggest they are organizing or cleaning them, indicating a sense of order and tidiness in the kitchen.",7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the clip show any cooking taking place?,"No direct cooking, only preparation.","Yes, the clip shows the cooking process in progress, with the person preparing food on the stove and the kitchen counter.",7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the person successfully cut the vegetables?,Yes.,"Yes, the person successfully cut the vegetables into smaller pieces.",7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Was the heat regulator adjusted to a specific level?,"Yes, it was operated.","Yes, the heat regulator was adjusted to a specific level, as indicated by the digital display showing ""380°F"".",7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the person use any other kitchen tools besides knives?,Heat regulator only mentioned.,"Yes, the person used a spoon and a spatula to mix the ingredients.",7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the cabinet opened before wrapping the sauce in flat bread?,No,"Yes, the cabinet is opened before wrapping the sauce in flat bread.",7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I cut vegetables before operating the heat regulator on the cooker?,Yes,"Yes, you cut vegetables before operating the heat regulator on the cooker.",7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the drawer opened before the vegetables are chopped?,No,Yes,7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does wrapping sauce in flat bread happen after cutting vegetables?,Yes,"Yes, after cutting vegetables, the person wraps the flat bread in the sauce.",7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I open the cabinet before chopping the vegetables?,No,"No, you should open the cabinet before chopping the vegetables.",7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What occurs just before wrapping the sauce in flat bread?,Chopping vegetables,"Just before wrapping the sauce in flat bread, the person places the sauce in a bowl and then uses a spatula to spread it evenly over the flat bread.",7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What takes place right before operating the heat regulator of the cooker?,Cutting vegetables with knives,"A person is seen opening the drawer of the dishwasher, revealing a dish rack with various kitchen utensils and ingredients.",7822,111720,0.07,8036,41,15000,0,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What setting is shown in this video clip?,A kitchen.,The video clip shows a kitchen setting with various cooking ingredients and utensils on the counter and stove.,11794,164640,0.0716,12152,62,15000,0,64,1
