video_id,question_id,task,source,question,answer,pred_answer,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,prune_cache,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q0,SF,Ego,Is there the mineral water I need inside the refrigerator in front of me?,"Yes, I see that there are various kinds of mineral water in the refrigerator for you to choose from.","The video shows a refrigerator with various beverages, including what appears to be mineral water. However, without a clear view of the specific brands or labels, it's not possible to confirm if the exact mineral water you need is available. If you can provide more details about the brand or type of mineral water you're looking for, I might be able to give you a more precise answer based on the visible items in the video.",20.0,20,179,1.0,False,2548,3920,0.65,adaptive,2548,13,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q0,SF,Ego,Is there the mineral water I need inside the refrigerator in front of me?,"Yes, I see that there are various kinds of mineral water in the refrigerator for you to choose from.","The video shows a refrigerator with various beverages, including what appears to be mineral water. However, without a clear view of the specific brands or labels, it's not possible to confirm if the exact mineral water you need is available. If you can provide more details about the brand or type of mineral water you're looking for, I might be able to give you a more precise answer based on the visible items in the video.",20.0,20,179,1.0,False,2548,3920,0.65,adaptive,2548,13,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q1,SM,Ego,What color is the shopping basket I use to hold items?,It is red.,red,50.0,50,179,1.0,False,6664,9800,0.68,adaptive,6664,34,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q1,SM,Ego,What color is the shopping basket I use to hold items?,It is red.,red,50.0,50,179,1.0,False,6664,9800,0.68,adaptive,6664,34,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q2,KG,Ego,"Based on what you see, where do you think I am right now?",I think you should be in a place similar to a shopping mall right now.,"It appears that you are inside a convenience store or a small grocery store, as indicated by the presence of a refrigerated section with various beverages, a checkout counter, and promotional materials on the walls. The items in the refrigerator include a variety of drinks such as energy drinks, soft drinks, and water. The promotional materials suggest that the store may be offering some kind of special deals or events, such as a ""PICK 5 FOR $5.00"" promotion. The environment looks like a typical retail setting where customers can purchase food and beverages.",74.0,74,179,1.0,False,8624,14504,0.5946,adaptive,8624,44,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q2,KG,Ego,"Based on what you see, where do you think I am right now?",I think you should be in a place similar to a shopping mall right now.,"It appears that you are inside a convenience store or a small grocery store, as indicated by the presence of a refrigerated section with various beverages, a checkout counter, and promotional materials on the walls. The items in the refrigerator include a variety of drinks such as energy drinks, soft drinks, and water. The promotional materials suggest that the store may be offering some kind of special deals or events, such as a ""PICK 5 FOR $5.00"" promotion. The environment looks like a typical retail setting where customers can purchase food and beverages.",74.0,74,179,1.0,False,8624,14504,0.5946,adaptive,8624,44,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q3,OS,Ego,I want to find a place to sit and rest. Are there any chairs nearby?,"Yes, there are chairs near you where you can sit and rest.","Yes, there are chairs nearby.",108.0,108,179,1.0,False,10388,21168,0.4907,adaptive,10388,53,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q3,OS,Ego,I want to find a place to sit and rest. Are there any chairs nearby?,"Yes, there are chairs near you where you can sit and rest.","Yes, there are chairs nearby.",108.0,108,179,1.0,False,10388,21168,0.4907,adaptive,10388,53,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q4,LM,Ego,Is there a shelf with fruit nearby? I want to buy some apples.,"Yes, there are some shelves to your left where you can go and look for apples.","Yes, there is a shelf with fruit nearby. You can find apples on the shelf.",142.0,142,179,1.0,False,12152,27832,0.4366,adaptive,12152,62,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q4,LM,Ego,Is there a shelf with fruit nearby? I want to buy some apples.,"Yes, there are some shelves to your left where you can go and look for apples.","Yes, there is a shelf with fruit nearby. You can find apples on the shelf.",142.0,142,179,1.0,False,12152,27832,0.4366,adaptive,12152,62,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q5,CI,Ego,I want to buy some beer and mineral water. Is there a refrigerator nearby that can provide these items?,"Yes, there is a refrigerator in the place where you just bought the mineral water.","Yes, there is a refrigerator nearby that contains beer and mineral water.",179.0,179,179,1.0,False,12740,35084,0.3631,adaptive,12740,65,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q5,CI,Ego,I want to buy some beer and mineral water. Is there a refrigerator nearby that can provide these items?,"Yes, there is a refrigerator in the place where you just bought the mineral water.","Yes, there is a refrigerator nearby that contains beer and mineral water.",179.0,179,179,1.0,False,12740,35084,0.3631,adaptive,12740,65,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e0q0,SF,Ego,Is there a yellow towel on the handle of the oven I just operated?,"Yes, I see a yellow towel, but based on your operation process, it is not possible to confirm that the machine is an oven.","yes,",20.0,20,179,1.0,False,980,3920,0.25,adaptive,980,5,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e1q0,SF,Ego,Is there a yellow towel on the handle of the oven I just operated?,"Yes, I see a yellow towel, but based on your operation process, it is not possible to confirm that the machine is an oven.","yes,",20.0,20,179,1.0,False,980,3920,0.25,adaptive,980,5,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e0q1,SM,Ego,I want some bananas. Are there any fruits on the table in front of me?,I see bananas on the table in front of you.,"yes,",50.0,50,179,1.0,False,1764,9800,0.18,adaptive,1764,9,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e1q1,SM,Ego,I want some bananas. Are there any fruits on the table in front of me?,I see bananas on the table in front of you.,"yes,",50.0,50,179,1.0,False,1764,9800,0.18,adaptive,1764,9,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e0q2,LM,Ego,I am looking for an orange pot. It might be surrounded by other kitchen utensils. Can you help me think about where it might be?,"Sure, you can check the cooking area you just used; it seems there is an orange pot there.","Based on the images provided, the orange pot is likely to be on the stove. It is a common place for pots to be placed when they are not in use or when they are being used for cooking. The stove is typically located in the kitchen area, and it is a central piece of equipment for cooking. If the orange pot is not on the stove, it could be stored in a cabinet or on a shelf in the kitchen. However, given the context of the images, it is most likely to be on the stove.",74.0,74,179,1.0,False,2156,14504,0.1486,adaptive,2156,11,15000,0,64,1
