video_id,task,question,answer,answer_letter,min_fps,sample_fps,trigger,trigger_time_sec,n_frames_seen,n_frames_loaded,truncated,qa_acc,pred_answer,pred_choice,correct_choice,presented_choices,n_generated_tokens,latency_seconds,retrieval_fired,question_id,position_bin,position_frac,needle_start_sec,needle_end_sec,query_time_sec,stream_fps,haystack_file,needle_first_frame,needle_last_frame,n_needle_frames,retrieval_distance_sec,retrieval_distance_frames,tokens_after_needle,needle_in_local_window,n_layers_retrieved,n_blocks_per_layer,n_needle_blocks,layers_hit_frac,blocks_hit_mean,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
fpsstream_000248,causality_detection,What was the direct cause of the ball crossing the goal line?,The attacker scored by striking the ball after it rebounded off the goalkeeper's glove,C,8.0,1.0,query,282.939,283,600,False,0.0,B,B,C,"[""The ball deflected directly into the goal off the goalkeeper's save attempt"", ""The attacker headed the ball into the goal from a teammate's pass following the goalkeeper's save"", ""The attacker scored by striking the ball after it rebounded off the goalkeeper's glove"", ""A defender accidentally scored an own goal after the ball deflected off the goalkeeper's glove"", 'None of the above']",2,0.8878,True,fpsbench_000250,middle,0.4643,273.939,283.949,282.939,24.0,subPlot_new_all_154.mp4,274,282,9,-1.01,0,0,True,28,64,4,0.8571,2.2143,19506,55468,0.3517,19600,100,15000,1123942400,64,1
fpsstream_000249,causality_detection,What action directly caused the ball to enter the goal following the corner kick?,An attacking player headed the ball into the goal,A,5.0,1.0,query,429.445,430,600,False,0.0,B,B,A,"['An attacking player headed the ball into the goal', 'The ball curled directly into the goal from the corner kick without being touched by another player', 'A defending player accidentally deflected the ball into their own goal', 'An attacking player volleyed the ball into the goal after the corner was taken', 'None of the above']",2,0.6397,True,fpsbench_000251,late,0.7211,425.445,435.455,429.445,25.0,subPlot_new_all_130.mp4,426,429,4,-6.01,0,0,True,28,64,3,0.8571,1.6429,33148,84280,0.3933,33320,170,15000,1910702080,64,1
fpsstream_000250,repetitive_motion,How many punches are thrown in total?,3,A,7.0,1.0,query,179.274,180,600,False,0.0,E,E,A,"['3', '4', '5', '6', 'None of the above']",2,0.3403,True,fpsbench_000252,early,0.2949,174.274,183.274,179.274,25.0,subPlot_new_all_60.mp4,175,179,5,-4.0,0,0,True,28,61,3,1.0,3.0,11875,35280,0.3366,11956,61,15000,0,64,1
fpsstream_000251,synchronization_assessment,Which fighter lands their kick first?,Both fighters land their kicks simultaneously,C,9.0,1.0,query,254.481,255,600,False,0.0,B,B,C,"['The fighter in white pants', 'The fighter in black pants', 'Both fighters land their kicks simultaneously', 'Only one of the fighters kick the other', 'None of the above']",2,0.3529,True,fpsbench_000253,middle,0.4183,248.481,254.487,254.481,25.0,order_36.mp4,249,254,6,-0.006,0,0,True,28,62,3,1.0,3.0,12033,49980,0.2408,12152,62,15000,0,64,1
fpsstream_000252,synchronization_assessment,Which fighter lands their kick first?,Both fighters land their kicks simultaneously,C,9.0,1.0,query,500.502,501,600,False,0.0,B,B,C,"['The fighter in white pants', 'The fighter in black pants', 'Both fighters land their kicks simultaneously', 'Only one of the fighters kick the other', 'None of the above']",2,0.5791,True,fpsbench_000254,late,0.8334,492.502,501.511,500.502,24.0,movie101_64.mp4,493,500,8,-1.009,0,0,True,28,64,4,0.9643,2.9286,36144,98196,0.3681,36260,185,15000,2079293440,64,1
fpsstream_000253,synchronization_assessment,"After both fighters kick eachother, who punches who first?",They punch eachother simultaneously,C,8.0,1.0,query,162.984,163,600,False,0.0,A,A,C,"['The fighter in white pants punches first', 'The fighter in black pants punches first', 'They punch eachother simultaneously', 'Only one of the fighters punches the other', 'None of the above']",2,0.4588,True,fpsbench_000255,early,0.2664,157.984,164.991,162.984,30.0,order_102.mp4,158,162,5,-2.007,0,0,True,28,64,3,0.9286,2.25,14371,31948,0.4498,14504,74,15000,0,64,1
fpsstream_000254,repetitive_motion,Ho many times does athlete 952 jump?,more than 9,D,5.0,1.0,query,338.437,339,600,False,0.0,A,A,D,"['4', '5', '7', 'more than 9', 'None of the above']",2,0.6217,True,fpsbench_000256,middle,0.5582,330.437,338.445,338.437,25.0,subPlot_new_all_68.mp4,331,338,8,-0.008,0,0,True,28,64,3,1.0,2.2857,19437,66444,0.2925,19600,100,15000,1123942400,64,1
fpsstream_000255,instance_count,How many times did the kids clap their hands?,12,C,5.0,1.0,query,499.362,500,600,False,0.0,A,A,C,"['3', '6', '12', '24', 'None of the above']",2,0.6775,True,fpsbench_000257,late,0.8286,486.362,499.375,499.362,30.0,order_255.mp4,487,499,13,-0.013,0,0,True,28,64,3,1.0,2.2143,35523,98000,0.3625,35672,182,15000,2045575168,64,1
fpsstream_000256,synchronization_assessment,Do the two people begin dribbling in sync? What about towards the end of the video?,"They begin dribbling out of sync, falling in sync at the end of the video",D,6.0,1.0,query,108.821,109,600,False,0.0,A,A,D,"['They begin dribbling in sync, staying in sync until the end of the video', 'They begin dribbling out of sync, remaining out of sync until the end of the video', 'They begin dribbling in sync, falling out of sync towards the end of the video', 'They begin dribbling out of sync, falling in sync at the end of the video', 'None of the above']",2,0.2641,True,fpsbench_000258,early,0.1731,102.821,108.827,108.821,30.0,count_224.mp4,103,108,6,-0.006,0,0,True,28,27,2,1.0,2.0,5256,21364,0.246,5292,27,15000,0,64,1
fpsstream_000257,synchronization_assessment,Do the two people begin dribbling in sync? What about towards the end of the video?,"They begin dribbling out of sync, remaining out of sync until the end of the video",B,6.0,1.0,query,258.479,259,600,False,0.0,A,A,B,"['They begin dribbling in sync, staying in sync until the end of the video', 'They begin dribbling out of sync, remaining out of sync until the end of the video', 'They begin dribbling in sync, falling out of sync towards the end of the video', 'They begin dribbling out of sync, falling in sync at the end of the video', 'None of the above']",2,0.745,True,fpsbench_000259,middle,0.426,253.479,258.484,258.479,25.0,movie101_34.mp4,254,258,5,-0.005,0,0,True,28,64,2,1.0,1.8571,16190,50764,0.3189,16268,83,15000,932872192,64,1
