video_id,task,question,answer,answer_letter,min_fps,sample_fps,trigger,trigger_time_sec,n_frames_seen,n_frames_loaded,truncated,qa_acc,pred_answer,pred_choice,correct_choice,presented_choices,n_generated_tokens,latency_seconds,retrieval_fired,question_id,position_bin,position_frac,needle_start_sec,needle_end_sec,query_time_sec,stream_fps,haystack_file,needle_first_frame,needle_last_frame,n_needle_frames,retrieval_distance_sec,retrieval_distance_frames,tokens_after_needle,needle_in_local_window,n_layers_retrieved,n_blocks_per_layer,n_needle_blocks,layers_hit_frac,blocks_hit_mean,retrieve_size,chunk_size
fpsstream_000000,repetitive_motion,How many dribbles does the player make?,3,A,7.0,4.0,query,153.817,616,2400,False,0.0,B,B,A,"['3', '4', '5', '6', 'None of the above']",2,0.7737,True,fpsbench_000000,early,0.2522,149.817,155.823,153.817,25.0,order_29.mp4,600,615,16,-2.006,0,0,True,28,64,16,1.0,8.6786,64,1
fpsstream_000001,repetitive_motion,How many times does the person in white and blue shirt move his fist?,more than 8 but less than 10 times,B,20.0,4.0,query,247.816,992,2400,False,0.0,A,A,B,"['6 to 8 times', 'more than 8 but less than 10 times', 'more than 10 but less than 13 times', 'exactly 13 times', 'None of the above']",2,0.6307,True,fpsbench_000001,middle,0.4117,240.816,255.816,247.816,30.0,order_242.mp4,964,991,28,-8.0,0,0,True,28,64,28,0.7857,2.6429,64,1
fpsstream_000002,instance_count,How many times does the person clap in total?,more than 11 times,D,10.0,4.0,query,480.81,1924,2400,False,0.0,A,A,D,"['6 to 8 times', '8 to 10 times', '11 times', 'more than 11 times', 'None of the above']",2,0.369,True,fpsbench_000002,late,0.8048,470.81,485.81,480.81,25.0,subPlot_new_all_198.mp4,1884,1923,40,-5.0,0,0,True,28,64,40,0.7857,4.1071,64,1
fpsstream_000003,speed_recognition,How does the speed of the car change in this video,Speed up,A,7.0,4.0,query,109.753,440,2400,False,100.0,A,A,A,"['Speed up', 'Slow down', 'Stays the same', 'Speeds up and slows down', 'None of the above']",2,0.4179,True,fpsbench_000003,early,0.1774,105.753,109.753,109.753,25.0,subPlot_new_all_92.mp4,424,439,16,0.0,0,0,True,28,64,16,0.8571,4.2143,64,1
fpsstream_000004,fine_grained_motion,"What foot does the player shoot with, and does he score","Left foot, no he does not score",B,7.0,4.0,query,243.368,974,2400,False,0.0,A,A,B,"['Right foot, no he does not score', 'Left foot, no he does not score', 'Right foot, yes he does score', 'Left foot, yes he does score', 'None of the above']",2,0.3504,True,fpsbench_000004,middle,0.4033,240.368,244.368,243.368,30.0,order_74.mp4,962,973,12,-1.0,0,0,True,28,64,12,0.9286,8.3571,64,1
fpsstream_000005,repetitive_motion,How many times does the dog jump on the floor in this video after getting off the couch?,5,B,7.0,4.0,query,458.671,1835,2400,False,0.0,E,E,B,"['4', '5', '6', '7', 'None of the above']",2,0.5821,True,fpsbench_000005,late,0.7629,454.671,458.675,458.671,25.0,movie101_89.mp4,1819,1834,16,-0.004,0,0,True,28,64,16,0.7143,3.3571,64,1
fpsstream_000006,instance_count,How many times does player #45 touch the ball with his right foot?,4,C,16.0,4.0,query,123.902,496,2400,False,0.0,A,A,C,"['2', '3', '4', '5', 'None of the above']",2,0.4475,True,fpsbench_000006,early,0.1998,118.902,123.902,123.902,24.0,subPlot_new_all_59.mp4,476,495,20,0.0,0,0,True,28,64,20,0.8571,7.6429,64,1
fpsstream_000007,action_order,What is the order of the actions by the player holding the ball in the video?,"Dribble, Between the legs crossover, Pass",B,8.0,4.0,query,301.119,1205,2400,False,0.0,D,D,B,"['Behind the back, dribble, pass', 'Dribble, Between the legs crossover, Pass', 'Crossover, Dribble, Pass', 'Dribble, behind the back, pass', 'None of the above']",2,0.5438,True,fpsbench_000007,middle,0.4994,298.119,301.122,301.119,24.0,subPlot_new_all_165.mp4,1193,1204,12,-0.003,0,0,True,28,64,12,0.7143,1.9286,64,1
fpsstream_000008,state_at_event,What is the position of the blue-gloved boxer's non-punching hand when he throws his first punch?,It is lowered to his chest,C,4.0,4.0,query,431.492,1726,2400,False,0.0,B,B,C,"['It is raised to cover his head', 'It is lowered to his hips', 'It is lowered to his chest', 'It is drawn back', 'None of the above']",2,0.5024,True,fpsbench_000008,late,0.7226,428.492,435.499,431.492,25.0,subPlot_new_all_56.mp4,1714,1725,12,-4.007,0,0,True,28,64,12,0.8214,3.3929,64,1
fpsstream_000009,repetitive_motion,How many rotations does the gymnast do?,4,C,7.0,4.0,query,158.623,635,2400,False,0.0,B,B,C,"['2', '3', '4', '5', 'None of the above']",2,0.6265,True,fpsbench_000009,early,0.2561,151.623,159.623,158.623,24.0,order_13.mp4,607,634,28,-1.0,0,0,True,28,64,28,0.7143,2.8571,64,1
